Region,Species,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2021_Q1,2021_Q2,2021_Q3,2021_Q4,2020_Q1,2020_Q2,2020_Q3,2020_Q4,2019_Q1,2019_Q2,2019_Q3,2019_Q4,2018_Q1,2018_Q2,2018_Q3,2018_Q4,2017_Q1,2017_Q2,2017_Q3,2017_Q4,2016_Q1,2016_Q2,2016_Q3,2016_Q4,2015_Q1,2015_Q2,2015_Q3,2015_Q4,2014_Q1,2014_Q2,2014_Q3,2014_Q4,2013_Q1,2013_Q2,2013_Q3,2013_Q4,2012_Q1,2012_Q2,2012_Q3,2012_Q4,2011_Q1,2011_Q2,2011_Q3,2011_Q4,2010_Q1,2010_Q2,2010_Q3,2010_Q4,2009_Q1,2009_Q2,2009_Q3,2009_Q4,2008_Q1,2008_Q2,2008_Q3,2008_Q4,2007_Q1,2007_Q2,2007_Q3,2007_Q4,2006_Q1,2006_Q2,2006_Q3,2006_Q4,2005_Q1,2005_Q2,2005_Q3,2005_Q4,2004_Q1,2004_Q2,2004_Q3,2004_Q4,2003_Q1,2003_Q2,2003_Q3,2003_Q4,2002_Q1,2002_Q2,2002_Q3,2002_Q4
Region V ,Others,433.49,240.73,168.28,229.35,419.45,111.31,318.15,187.1,74.47,372.23,640.61,130.12,128.65,30.03,30.08,57.99,207.9,160.78,115.89,56.09,247.59,207.39,139.93,105.79,159.86,177.76,403.02,199.9,217.3,393.9,340.5,199.11,287.69,283.82,257.36,199.54,383.18,166.65,327.39,142.39,654.73,206.13,309.31,161.37,393.67,253.08,288.52,199.61,308.11,289.23,406.07,211.09,285.0,277.95,416.53,184.61,266.86,325.47,460.0,196.61,435.23,769.54,466.41,230.98,184.9,187.31,825.84,511.24,330.79,203.78,97.2,130.73,161.54,173.81,89.0,264.22,334.87,227.95,116.0,168.99,1206.25,281.0,299.49,275.0,1035.0,303.0,372.0,513.0,977.0,407.0,369.0,195.0
Region VI ,Acetes ,2.89,1.43,5.24,2.0,146.03,8.21,1.0,5.61,4.2,3.0300000000000002,1.86,3.0300000000000002,14.77,8.15,8.503333333333334,2.59,29.75,16.23,10.58,6.0,77.45,1.93,1.75,17.69,128.62,28.49,17.03,39.13,53.29,27.05,44.6,18.24,2354.53,39.93,36.2,93.18,607.9,66.45,54.79,100.17,290.4,12.93,10.74,108.85,260.3,8.72,3.63,53.84,276.58,136.93,156.18333333333334,55.04,448.87,145.87,99.17,441.97,551.11,182.51,116.18,390.62,58.96,412.5,74.95,403.0,61.83,109.39,67.61,472.3,85.3,100.0,50.0,500.0,100.0,135.0,63.0,600.0,104.69,105.85,100.0,800.0,250.0,469.0,577.2566666666667,1012.77,244.0,722.0,619.0,891.0,259.0,678.0,238.0,945.0
Region VI ,Anchovies ,335.05,409.3,241.26,252.19,484.54,275.72,412.24,172.27,150.48,853.42,415.0,234.45,200.79,208.03,191.59,111.98,132.82,204.65,191.89,250.1,144.28,300.34,166.33,114.21,220.4,223.54,209.46,156.23,392.7,140.99,95.22,349.32,120.93,143.58,309.97,145.74,96.16,205.66,203.71,106.67,293.25,160.08,188.62,99.77,450.02,501.75,134.69,64.02,319.57,317.23,361.88,526.9,295.66,573.1,378.24,673.29,216.41,299.96,434.62,688.84,560.12,429.3,327.03,671.6,409.95,688.1,580.34,954.97,403.44,661.31,581.63,991.64,515.69,688.97,584.94,602.27,498.93,526.26,726.3,607.21,650.4,598.8,714.29,664.84,674.0,434.0,808.0,705.0,637.0,463.0,845.0,578.0
Region VI ,Big-eyed scad ,1114.14,915.41,726.49,674.9,891.16,709.49,1349.8,1535.87,820.55,828.19,965.67,3279.63,780.5,845.67,977.56,819.81,1015.77,1026.51,1398.51,913.6,711.8,992.21,1346.56,813.03,598.65,904.62,835.43,919.61,479.76,689.04,480.88,526.74,689.13,700.52,554.23,576.73,969.82,927.34,779.06,639.58,906.45,840.79,564.21,646.7,853.51,717.0,673.28,791.3,617.02,660.05,462.07,553.14,794.71,802.91,611.72,650.32,714.41,710.54,592.82,686.69,729.46,867.75,601.67,654.11,767.92,981.96,763.52,1020.2,520.42,831.44,584.89,756.08,470.95,854.81,496.7,731.59,424.49,709.34,542.14,792.36,428.54,849.98,693.93,662.46,400.0,840.0,579.0,711.0,339.0,754.0,604.0,738.0
Region VI ,Bigeye tuna ,97.26,133.79,262.93,58.66,87.48,304.28,720.0,84.28,157.22,591.12,2056.31,189.11,152.01,196.55,160.49,120.36,187.74,259.32,285.79,288.94,32.16,518.31,485.64,294.33,208.25,73.78,8.99,266.94,117.02,72.3,125.27,48.79,61.9,82.26,183.02,167.45,356.86,100.79,86.51,118.18,367.21,72.0,43.09,99.51,48.5,42.69,50.2,155.76,111.01,43.74,39.01,53.15,51.75,43.66,35.25,50.81,20.46,39.1,39.64,36.05,10.66,6.98,11.06,21.78,93.93,175.02,68.97,238.42,52.07,100.17,91.07,238.73,58.9,62.35,32.99,241.92,49.91,44.61,40.1,125.15,,,,,,,,,,,,
Region VI ,Blue crab ,50.66,42.88,29.96,66.4,89.61,72.91,116.03,65.42,5.89,18.86,98.79,61.72,89.1,28.61,92.22,93.57,143.02,76.94,111.43,62.93,79.57,57.99,142.25,96.19,136.47,117.15,11.06,44.71,140.32,165.33,102.49,113.91,32.82,92.04,133.68,170.35,56.23,55.84,47.8,53.17,71.86,70.5,57.47,69.79,70.78,66.08,57.86,60.04,107.43,91.05,114.27,101.86,104.0,202.6,160.55,180.7,106.42,217.44,185.68,194.33,315.97,195.35,173.52,224.75,122.32,199.41,336.14,346.1,98.51,227.64,244.14,141.92,97.5,207.96,102.99,103.91,110.23,182.47,120.06,113.04,120.99,185.25,99.1,111.77,130.0,219.0,275.0,146.0,160.0,210.0,268.0,109.0
Region VI ,Caesio ,46.8,64.27,75.02,164.27,33.83,71.95,72.06,67.88,24.14,41.75,40.97,48.94,59.42,94.95,55.04,10.73,54.74,89.54,74.88,101.34,42.21,81.56,70.11,68.98,17.15,88.34,21.64,33.71,19.95,119.62,17.82,11.34,84.05,147.0,20.91,13.87,52.76,196.58,29.07,46.02,153.26,82.45,26.35,54.67,140.77,56.82,24.01,60.32,153.69,118.13,22.43,13.28,92.22,256.97,137.07,89.63,103.45,84.37,23.67,43.39,101.63,83.17,46.89,60.93,96.97,143.18,73.32,81.06,30.8,23.19,84.36,95.27,29.5,38.05,28.52,98.6,33.43,47.02,39.5,23.18,42.05,80.47,3.1,27.5,30.0,85.0,22.0,22.0,7.0,79.0,25.0,24.0
Region VI ,Cavalla ,89.23,91.49,55.23,80.18,82.29,80.6,59.83,40.9,82.05,233.3,795.56,215.39,76.53,388.15,200.57,156.95,84.62,112.73,66.81,81.11,136.68,143.83,122.0,82.68,22.64,203.41,138.53,58.01,37.44,182.91,73.34,66.76,152.04,334.99,231.79,220.81,486.92,584.52,343.95,179.72,506.3,429.67,302.23,272.31,477.62,264.72,304.68,225.12,250.55,320.48,377.53,736.43,235.8,652.98,481.75,1129.08,121.63,353.89,449.73,1517.52,241.39,588.68,264.48,102.72,204.0,394.2,188.23,272.29,176.02,293.28,145.52,225.24,86.14,120.15,127.92,210.86,34.84,89.25,147.78,225.43,81.3,44.77,30.24,18.92,40.0,63.0,25.0,43.0,27.0,48.0,13.0,49.0
Region VI ,Crevalle ,603.12,404.72,458.77,499.86,541.44,330.92,506.6,376.62,401.79,449.6,640.12,554.48,388.54,668.47,859.72,512.32,397.75,613.51,409.4,460.0,636.12,352.5,454.05,512.1,693.93,695.93,504.45,487.88,1698.67,918.37,809.96,599.53,1227.75,976.8,601.83,2398.85,988.33,855.64,557.7,1404.33,1056.55,1043.53,649.04,1882.1,1079.85,1342.92,856.57,1257.4,1358.52,1605.98,1363.4,1149.31,1387.65,1562.75,1357.55,1632.38,1303.76,1817.67,1530.49,1776.04,1366.87,2177.03,1996.88,1649.58,1329.8,1926.7,1760.7,1952.86,1644.66,1846.37,2148.55,2101.63,1686.9,2131.76,2318.19,2912.21,1626.48,1908.86,2530.56,3097.59,1642.83,1928.05,2831.66,3086.45,1495.0,2033.0,3108.0,2940.0,1608.0,2552.0,3025.0,3359.0
Region VI ,Eastern little tuna ,852.82,508.83,23.88,338.45,168.62,157.76,43.43,262.98,201.58,625.74,123.64,195.79,75.83,85.32,39.31,337.88,49.22,59.85,81.02,175.35,75.89,36.13,28.34,22.26,126.89,82.76,599.16,512.64,199.3,118.75,39.83,51.22,70.76,69.48,28.11,42.91,190.75,71.68,29.12,53.43,164.57,80.32,33.63,49.03,109.37,120.94,92.57,53.8,91.83,115.14,99.77,96.55,183.82,297.63,109.76,105.82,900.81,411.78,118.32,123.6,157.65,1274.08,129.83,123.48,95.63,203.82,73.83,92.13,3762.39,2741.17,144.33,95.07,2723.24,2980.1,703.22,1256.21,2181.53,2724.42,959.53,1369.1,2060.29,2548.68,1013.65,1330.11,1744.0,2590.0,1058.0,1542.0,1394.0,2275.0,1056.0,1436.0
Region VI ,Fimbriated sardines ,448.23,672.29,964.8,671.36,1969.97,1948.8,926.13,927.38,258.99,1208.87,844.76,1314.9,377.92,391.6,767.27,554.63,304.46,387.06,352.39,247.6,559.24,1043.48,1122.05,576.02,754.48,1048.47,1334.21,555.67,1286.44,2162.37,1516.95,815.01,592.92,1671.67,1185.88,786.86,450.19,663.8,1143.71,774.18,641.18,1386.86,5251.21,2716.96,1194.26,1625.98,1399.19,521.12,1991.35,1917.16,1594.34,1384.41,1811.09,2168.84,1611.05,1901.24,2176.78,2428.35,2210.55,1835.61,2352.71,4409.12,1804.6,2152.1,1912.5,2498.75,2074.53,2745.08,1928.07,2161.06,1958.14,2728.73,2071.76,2043.97,1795.33,2403.16,1942.47,2094.5,2065.15,2186.2,1909.16,2034.99,2401.87,1821.02,2122.0,1417.0,2443.0,2486.0,1918.0,1616.0,2053.0,1943.0
Region VI ,Flying fish ,18.77,80.22,11.22,58.01,17.14,58.78,46.45,59.33,45.69,65.52,42.21,46.73,5.67,97.3,57.64,51.68,8.5,6.02,45.63,79.43,26.6,6.57,18.36,8.27,48.68,8.9,5.07,43.55,95.45,14.87,2.77,1.17,68.0,94.82,5.11,16.61,2.51,9.86,9.11,3.41,2.84,9.72,4.78,3.68,3.34,9.18,5.62,3.35,9.71,9.03,4.43,3.83,9.96,7.68,5.14,4.6,6.71,5.63,5.51,3.94,20.94,1.59,5.64,103.43,14.8,5.74,7.89,116.08,23.17,9.24,22.79,4.08,0.67,7.38,3.0,9.4,1.6333333333333335,3.61,0.26,1.03,5.0,5.0,5.0,5.0,15.0,2.0,8.0,13.0,20.0,16.0,24.0,24.0
Region VI ,Frigate tuna ,445.06,1052.73,338.4,542.24,256.83,362.89,579.59,391.95,196.16,278.01,218.6,227.31,166.65,300.44,153.72,460.94,358.21,135.17,92.96,99.92,245.93,149.51,94.64,127.62,385.76,378.73,114.05,99.48,609.84,934.35,308.06,187.08,313.25,1009.13,451.53,206.37,446.45,725.04,307.15,1070.86,400.87,243.76,190.16,1015.74,305.77,317.63,195.45,1312.74,316.86,385.41,270.75,240.33,323.01,441.48,322.76,263.22,1089.64,502.53,300.33,288.47,573.08,1084.14,354.72,385.24,734.63,501.25,372.43,375.19,580.42,596.06,314.81,445.75,599.14,579.96,334.93,498.78,528.61,561.77,290.3,547.82,659.17,909.94,286.73,590.58,905.0,978.0,417.0,527.0,1072.0,874.0,427.0,404.0
Region VI ,Goatfish ,426.81,548.83,486.67,456.32,414.04,212.1,349.4,293.5,283.49,648.42,498.09,474.52,393.79,567.73,601.36,284.45,624.82,661.84,742.53,667.68,479.75,582.97,716.39,762.6,592.03,545.65,721.5,822.41,524.16,487.52,482.41,589.2,295.7,563.05,363.74,634.01,1001.96,756.01,722.1,782.22,1163.79,759.5,678.52,1062.66,1010.02,925.75,955.72,1031.73,859.07,845.98,1026.84,1258.68,1241.24,994.49,1315.4,1545.6,1368.94,1088.07,1569.96,1790.56,812.24,866.97,2169.8,1725.94,616.51,1124.93,1229.43,1045.87,497.03,1168.66,1078.36,1086.78,434.52,1035.03,1212.21,1134.6,374.07,957.14,1425.38,1031.38,322.52,1207.5,1471.99,933.02,333.0,1181.0,1550.0,896.0,253.0,1377.0,1695.0,1194.0
Region VI ,Grouper ,52.28,47.2,101.21,113.6,48.53,140.1,101.41,31.43,18.61,394.12,76.41,44.33,18.19,29.0,16.93,23.04,52.07,23.0,25.55,7.46,8.64,19.33,17.43,21.95,3.54,37.34,16.88,22.77,5.2,86.42,84.39,34.12,92.2,11.74,49.55,63.38,39.23,11.0,18.57,15.41,33.25,27.53,15.28,40.07,20.31,6.15,14.14,98.28,42.13,8.15,43.45,14.84,38.78,37.01,48.64,148.79,33.0,57.2,73.16,175.99,160.93,65.86,54.49,213.86,123.04,255.13,106.55,338.44,138.12,253.93,118.34,318.69,181.93,344.9,151.21,368.27,118.19,282.98,139.71,372.03,244.3,306.45,8.3,367.96,237.0,466.0,379.0,375.0,242.0,404.0,550.0,399.0
Region VI ,Hairtail ,179.97,158.69,159.16,155.68,297.56,210.49,229.21,152.25,70.99,596.98,127.15,104.86,99.82,135.22,90.97,52.66,76.68,74.47,156.12,92.32,47.34,147.62,280.95,72.68,44.04,90.88,216.49,143.52,280.82,106.14,39.7,94.09,216.95,87.94,73.48,127.82,368.43,233.88,231.48,275.75,621.49,290.42,167.32,315.48,256.63,677.16,461.67,275.64,652.08,597.89,407.3,391.92,611.08,557.64,444.62,606.85,625.33,722.81,479.48,672.16,491.95,513.12,473.44,596.21,528.55,591.95,376.06,439.11,409.87,640.66,359.68,519.13,452.79,626.11,379.67,466.16,280.87,515.5,396.64,383.2,289.23,535.36,447.45,315.95,287.0,521.0,509.0,328.0,318.0,517.0,527.0,479.0
Region VI ,Indian mackerel ,555.26,883.61,1493.26,621.78,478.45,597.45,814.87,1003.03,392.02,379.61,630.08,474.4,556.19,509.1,545.27,225.33,818.78,783.13,711.13,534.65,805.13,829.39,759.6,718.28,185.64,587.9,458.12,590.61,689.63,825.17,765.36,245.07,306.73,668.08,335.61,873.94,618.5,736.69,467.84,1736.85,637.07,591.47,406.45,2154.44,670.32,884.15,521.01,2175.59,1088.81,988.3,769.21,799.09,1356.38,1194.77,963.62,1017.55,883.98,931.75,727.79,939.32,1278.66,1022.66,659.1,778.96,947.34,1128.47,1141.23,1288.64,910.44,1083.57,1002.02,1135.96,839.18,927.52,1007.63,818.14,752.39,1312.1,1275.44,915.09,709.52,1260.52,919.97,640.1,750.0,1199.0,1105.0,699.0,637.0,1137.0,1013.0,912.0
Region VI ,Bali sardinella ,1735.84,2173.99,2449.72,2000.87,2473.4,2161.85,2890.99,2451.03,1959.71,3314.08,2650.61,1638.49,1684.09,3278.23,1658.54,1491.59,1991.41,2909.73,1675.23,1671.57,1502.39,2754.97,1490.91,1965.1,1667.43,2051.25,1117.76,1563.93,954.11,2118.79,1668.97,1249.4,722.45,1941.62,867.0,680.16,657.53,1548.55,471.96,415.27,482.17,1183.48,1043.48,449.9,821.67,905.81,1392.37,391.87,743.83,1009.29,1413.74,1265.68,596.27,695.05,1195.42,1969.35,721.75,1079.33,1123.12,2272.01,800.06,2196.4,557.43,928.26,1065.56,1232.39,890.72,760.3,1084.77,1284.97,1209.65,1136.14,1077.05,1159.59,816.15,774.93,2044.71,1413.88,1374.16,1634.16,2601.12,1229.75,1269.12,1021.22,2586.0,875.0,1368.0,1359.0,2725.0,2015.0,1650.0,1390.0
Region VI ,Indo-pacific mackerel ,1136.75,1251.93,2450.6,1340.17,899.54,819.8,863.17,780.43,223.39,456.63,589.9,752.4,379.62,334.02,381.49,657.15,530.02,520.12,568.89,605.66,172.94,783.35,348.09,510.84,852.8,1058.07,755.59,667.16,395.01,648.9,681.36,1765.74,336.0,470.5,588.93,1011.25,504.07,691.06,495.31,456.38,558.82,759.84,517.03,485.51,410.64,1052.99,671.2,493.08,580.53,1239.82,1184.16,581.35,966.17,1596.29,1218.77,888.91,678.38,1168.25,1105.29,813.73,569.29,1482.02,992.94,944.76,649.86,967.88,801.63,1058.54,735.14,801.29,1079.41,1153.1,742.12,906.28,1049.96,1352.31,768.49,1336.51,1446.05,1552.12,704.41,924.83,1230.87,1571.44,712.0,955.0,1678.0,1539.0,460.0,774.0,1601.0,1155.0
Region VI ,Mullet ,56.57,60.27,16.31,63.89,68.92,28.44,81.35,44.1,35.77,99.55,25.44,31.59,13.55,7.01,9.97,18.48,1.13,3.02,19.13,16.25,3.23,2.36,6.4,11.67,7.86,2.85,4.34,4.0,5.62,5.74,2.42,2.96,11.89,9.22,4.27,3.26,5.28,0.15,12.36,3.02,1.97,14.1,19.97,30.95,2.09,68.56,5.07,64.64,73.55,54.53,75.45,0.91,63.24,187.06,169.83,145.38,64.24,203.21,205.94,147.77,91.04,204.43,189.02,119.77,58.43,178.91,188.76,106.25,60.15,166.33,164.5,68.97,65.0,152.86,138.88,60.48,65.5,125.35,150.2,35.0,74.34,152.69,203.58,51.68,79.0,210.0,215.0,59.0,134.0,199.0,214.0,72.0
Region VI ,Parrot fish ,11.75,25.17,31.08,29.78,16.19,16.39,14.31,22.03,15.19,7.42,16.1,21.06,8.83,17.81,17.36,3.51,5.62,8.3,11.56,15.23,1.5,6.58,19.06,4.85,36.26,15.69,8.84,16.53,44.26,29.32,13.19,16.61,6.27,34.74,5.89,39.73,10.61,40.4,7.22,13.51,13.03,10.17,15.54,21.18,12.55,12.03,13.54,16.32,11.91,13.63,9.38,9.69,10.31,9.89,16.84,7.0,12.86,16.35,13.57,13.14,17.95,19.99,9.29,10.69,5.8,43.02,12.36,7.73,36.7,22.5,14.19,9.98,37.0,38.0,2.0,37.4,4.75,6.0,2.57,42.8,17.0,4.0,3.0,35.17,11.0,16.333333333333332,2.0,36.0,2.0,69.0,42.0,39.0
Region VI ,Porgies ,11.89,76.47,26.3,38.12,14.4,52.74,31.24,28.69,19.79,68.42,27.58,19.88,11.55,42.47,23.12,5.34,21.89,28.67,22.96,48.83,184.0,137.56,31.48,6.49,115.74,172.32,77.99,115.17,193.54,248.4,197.76,167.49,104.57,213.95,262.45,195.66,636.71,328.76,419.79,378.43,1107.69,481.27,558.54,329.21,692.21,1119.43,619.69,636.75,685.87,981.65,722.55,1045.16,618.23,966.06,906.65,1371.94,698.43,821.55,936.89,1086.69,418.1,740.37,970.69,897.96,339.4,502.78,584.53,568.33,167.51,229.17,556.83,520.2,199.83,306.03,395.89,521.74,179.11,284.86,461.61,640.88,382.54,381.21,501.33,543.57,328.0,546.0,587.0,396.0,331.0,523.0,510.0,457.0
Region VI ,Round herring ,27.82,32.72,22.75,57.03,13.49,9.23,56.55,51.6,24.4,5.09,36.88,27.32,6.86,13.08,13.12,5.65,55.74,25.95,70.83,51.76,25.85,16.28,54.6,63.2,39.33,11.36,30.46,44.01,72.03,26.66,33.13,15.81,123.77,56.22,62.6,49.14,16.15,68.3,102.02,84.21,108.56,71.0,109.54,65.23,208.44,94.36,106.52,28.32,109.76,130.31,90.89,97.67,121.66,149.72,95.09,117.38,134.98,175.28,104.86,123.64,332.16,350.98,85.96,114.63,170.47,327.08,302.9,320.0,144.56,279.57,303.81,291.72,108.88,155.0,321.34,317.17,26.74,136.69,400.95,325.84,47.65,188.38,477.47,407.15,184.0,212.0,503.0,420.0,223.0,252.0,554.0,371.0
Region VI ,Roundscad ,4638.49,3953.15,2170.51,1606.93,2099.96,2532.49,2250.19,876.76,3218.73,2343.42,1758.02,1123.67,1989.63,2260.14,2237.96,1298.63,2475.7,2098.63,1388.91,1072.75,1654.43,2190.47,1550.38,1276.24,1962.44,1983.74,1016.26,1128.43,4587.95,2423.42,1338.16,783.41,2770.91,2553.91,1424.74,849.83,3161.35,1771.91,1233.81,2190.82,3233.68,2111.72,1261.46,2622.04,3350.91,2160.34,1279.55,2330.28,2450.91,2161.01,1500.78,1674.33,2111.54,2390.74,1589.83,1747.35,2735.65,1998.3,1829.79,1838.78,1462.15,3335.78,955.18,1529.11,1315.47,2804.79,1186.59,1725.81,1393.56,2623.66,1531.44,2018.6,1224.83,2297.99,1393.93,1448.82,2110.83,2436.13,1685.21,1529.51,2454.53,2556.7,1475.1,1273.15,2095.0,3054.0,1738.0,1453.0,2109.0,2347.0,1240.0,1758.0
Region VI ,Siganid ,21.77,48.93,28.75,35.81,34.67,33.94,50.09,25.79,53.92,21.96,37.23,11.59,20.3,31.55,13.26,156.98,19.78,13.62,5.13,20.52,20.52,10.45,18.49,9.44,30.44,12.65,6.2,37.0,69.15,12.44,10.82,12.72,17.38,19.74,6.51,15.32,34.01,19.69,4.33,13.14,24.84,16.64,19.65,14.95,23.11,11.43,11.78,83.01,24.13,15.11,13.87,8.44,26.92,23.3,23.81,9.7,25.72,41.83,33.5,9.63,24.81,40.0,27.16,21.06,19.21,59.09,39.0,63.74,35.25,12.14,8.1,54.33,7.54,13.63,6.5,48.0,7.04,12.63,6.39,4.5,15.0,1.0,0.5,1.3,9.0,1.0,1.0,9.0,3.0,3.0,7.0,11.0
Region VI ,Skipjack ,543.86,846.51,1678.94,1558.43,421.94,511.15,585.97,606.1,697.94,464.18,425.15,346.26,326.36,323.13,231.14,731.98,234.46,273.53,196.02,280.58,128.76,210.16,149.7,263.93,149.73,272.65,158.4,223.4,155.68,274.08,150.01,153.1,150.68,299.86,272.28,518.73,432.98,289.09,209.38,246.44,542.31,261.72,181.67,310.96,480.51,395.53,239.02,335.27,244.72,227.9,229.24,601.31,268.68,354.28,283.25,561.48,279.72,322.2,296.04,537.64,389.4,306.38,274.2,569.94,352.31,252.81,198.52,574.89,390.98,265.2,237.06,530.17,378.1,256.67,172.83,593.19,400.53,218.0,166.14,848.23,236.69,310.08,158.6,827.07,232.0,326.0,272.0,783.0,313.0,343.0,288.0,826.0
Region VI ,Slipmouth ,457.94,693.49,398.5,591.6,693.4,580.87,705.21,565.93,258.42,1149.51,995.49,1001.59,842.15,705.82,818.8,366.4,575.37,761.81,783.03,843.93,592.01,710.04,963.01,957.13,808.8,771.88,716.29,1214.57,982.84,784.56,825.43,937.72,855.09,721.4,613.13,723.74,1258.16,879.45,1318.54,790.02,1715.11,1102.01,1068.59,883.37,1262.98,1177.58,1085.72,955.46,1007.05,901.75,1445.29,1704.48,1400.42,1187.67,1405.69,2009.18,1518.66,1256.23,1395.28,2025.28,1418.99,1879.45,2054.59,2227.1,1588.23,2780.92,1919.8,2026.6,1266.57,2719.44,2156.91,2418.34,1700.19,2686.74,2872.18,2760.4,1874.21,2632.3,2943.74,2965.81,1775.18,2767.12,3427.75,2957.42,1891.0,3039.0,3726.0,3011.0,2183.0,3127.0,3702.0,3238.0
Region VI ,Snapper ,55.69,66.69,150.04,64.1,204.2,41.68,91.05,50.66,44.22,35.2,113.09,78.89,79.1,97.86,26.92,21.82,102.44,68.43,31.75,21.83,131.28,54.36,106.3,63.28,63.28,80.5,70.02,54.45,115.61,131.02,115.26,48.45,34.86,42.38,294.22,49.57,24.83,43.65,247.21,50.57,100.45,222.32,255.89,37.02,231.37,383.16,279.5,177.78,296.94,337.96,237.87,227.04,144.21,576.11,302.64,323.1,141.51,269.69,195.57,196.11,158.51,250.68,143.89,146.01,151.0,265.55,140.44,138.49,150.5,226.42,146.24,109.43,152.64,210.71,141.88,80.4,175.3,196.61,146.61,109.56,184.78,233.37,170.5,125.76,154.0,260.0,223.0,127.0,185.0,246.0,218.0,128.0
Region VI ,Spanish mackerel ,43.21,52.42,88.97,103.82,31.27,108.51,39.71,82.54,50.04,19.17,15.93,64.33,51.73,137.87,89.82,61.17,77.35,130.57,122.81,185.81,56.41,41.48,47.42,124.13,85.38,72.44,84.58,111.46,17.05,107.26,12.21,63.8,27.55,231.4,15.69,152.76,110.34,308.62,131.88,237.73,214.55,75.43,230.08,293.52,177.73,101.64,138.48,343.39,287.24,314.95,165.22,163.4,263.32,309.63,173.96,127.95,245.7,398.11,220.94,139.68,387.28,399.69,218.81,140.88,351.8,435.28,201.92,222.36,331.15,348.64,197.81,206.14,269.72,296.05,193.28,228.29,275.65,267.27,167.69,139.77,365.64,330.56,91.74,166.0,273.0,323.0,251.0,157.0,217.0,309.0,238.0,216.0
Region VI ,Squid ,381.78,346.66,456.88,421.46,558.54,345.96,972.66,531.38,405.88,700.99,2234.64,730.25,554.51,510.13,654.82,442.91,801.38,689.16,498.31,601.24,733.42,908.26,848.3,604.62,767.52,777.39,1153.84,1213.41,1132.91,674.17,491.54,1436.86,1034.7,857.66,846.04,670.05,1304.19,949.61,710.98,2071.01,1089.85,1009.39,813.25,2447.68,952.32,1076.75,932.97,2591.52,911.5,1127.43,866.91,789.98,1097.14,1263.23,825.05,974.59,912.09,1522.22,961.39,1169.34,730.1,944.4,1589.03,891.58,633.71,1243.32,1197.52,747.66,556.91,1342.32,2036.89,872.97,537.99,1234.38,1546.4,814.41,567.95,1246.62,1671.83,892.39,570.13,1075.57,1685.07,1228.42,633.0,1017.0,1834.0,1254.0,542.0,1093.0,1845.0,1260.0
Region VI ,Threadfin bream ,665.62,920.66,885.24,516.86,731.13,621.62,827.96,423.28,395.61,706.08,784.85,737.99,534.24,511.72,621.28,516.54,518.44,594.96,816.23,689.93,893.14,727.03,613.71,439.35,522.66,432.67,539.48,443.61,880.58,582.91,565.68,370.03,380.75,565.17,497.97,500.95,1036.0,962.02,740.74,534.76,1112.51,937.99,654.15,626.5,703.24,1197.46,804.02,658.26,857.66,1366.68,868.79,1181.73,975.97,1455.43,951.84,1082.05,866.03,1038.41,814.15,1067.67,684.66,971.11,1229.81,852.26,493.77,1128.98,647.21,725.68,475.55,1059.0,829.48,763.78,555.69,1265.7,1019.63,724.93,502.29,1232.57,1025.33,996.74,837.13,1433.29,1130.72,905.72,998.0,1505.0,1148.0,962.0,815.0,1362.0,1200.0,1071.0
Region VI ,Yellowfin tuna ,265.77,513.82,829.26,521.59,227.41,698.93,879.2,343.84,121.38,1046.4,665.61,288.23,247.75,221.03,74.45,132.25,284.0,200.86,106.35,154.76,217.65,200.47,77.91,93.97,327.75,319.8,323.19,120.62,554.83,287.44,136.59,143.71,275.44,273.23,207.89,434.38,275.65,258.59,345.99,472.87,293.32,239.62,416.95,473.88,373.68,287.74,384.2,539.62,244.18,256.87,250.99,386.56,429.56,369.97,412.32,486.82,364.74,392.19,419.96,520.22,535.86,668.09,415.73,514.17,469.0,872.78,401.27,321.81,526.17,978.07,441.18,280.28,480.55,817.94,510.66,425.69,567.06,882.0,531.55,714.15,878.6,1112.63,697.08,1022.18,638.0,1185.0,674.0,966.0,576.0,1080.0,689.0,778.0
Region VI ,Others,2871.98,4108.16,2823.93,2313.24,4618.57,3211.42,3053.42,2848.95,3395.37,3374.71,3824.76,3784.24,5397.98,3702.55,3743.34,2128.59,7026.81,4923.22,3738.53,4283.05,6175.95,5823.49,4755.2,4412.24,5038.5,3593.96,4602.46,5597.62,7264.97,4076.34,3631.3,3578.44,8784.81,3507.28,4456.67,5085.35,6549.03,4148.47,4473.46,3081.59,5900.22,4030.8,4724.43,4904.25,7072.14,7447.33,5240.05,6027.62,6074.24,7600.73,5645.39,7077.14,6308.53,6114.68,6071.92,5841.78,4472.59,5612.94,7033.37,6062.5,7094.62,4868.17,6375.93,7140.67,8244.81,9523.37,7539.13,7178.11,6427.27,6613.9,7524.77,7073.34,5415.53,6517.0,6909.56,7204.84,4246.13,6376.17,6814.85,6269.44,4322.85,5909.26,7012.76,5016.58,4581.0,5471.0,8133.0,4695.0,3829.0,6055.0,5820.0,4045.0
